Name,Graph_Index
Bacterial endocarditis,283
Enterococcal infection,284
Viridans group streptococcal infection,285
Streptococcal infection,286
Chagas disease,287
Acute encephalitis,288
Enterovirus infection,289
Shewanella infection,290
Infectious mononucleosis,291
Balantidiasis,292
Dipylidiasis,293
Ralstonia pickettii infection,294
Amoebiasis,295
Aeromonas infection,296
Measles,297
Anaerobic infection,298
Exanthema subitum,299
Dientamoebiasis,300
Middle East respiratory syndrome,301
Acanthamoebiasis,302
Cryptosporidiosis,303
Invasive streptococcal disease,304
Buruli ulcer,305
Schistosomiasis,306
Acute hemorrhagic conjunctivitis,307
Syngamosis,308
Chlamydial pneumonia,309
Zika fever,310
Baylisascariasis,311
Trichomoniasis,312
Tinea versicolor,313
Human granulocytic anaplasmosis,314
Bejel,315
Uropathogenic Escherichia coli (UPEC) infection,316
Murray Valley encephalitis,317
Taenia saginata infection,318
Crimean-Congo hemorrhagic fever,319
Paracoccus yeei infection,320
Eumycetoma,321
Hendra virus infection,322
Enterohemorrhagic Escherichia coli (EHEC) infection,323
Ebola disease,324
Strongyloidiasis,325
Helicobacter heilmannii infection,326
HIV infection,327
Photorhabdus asymbiotica infection,328
Intestinal fluke infection,329
Hymenolepiasis,330
Nipah virus infection,331
Morganella morganii infection,332
Relapsing fever,333
Novosphingobium aromaticivorans infection,334
Blastomycosis,335
Rickettsialpox,336
Enteropathogenic Escherichia coli (EPEC) infection,337
Hepatitis A,338
La Crosse encephalitis,339
Human echinococcosis,340
Bacterial conjunctivitis,341
Pinta,342
Omsk hemorrhagic fever,343
Arenaviral hemorrhagic fever,344
